audit_section,track_id,requirement_id,expected_value,observed_value,tolerance,pass,evidence_path,notes
development_mapping,8,mapping_row_count,399,399,exact,True,outputs/sem_deadline/sem_mapping_deadline_v1.csv,
development_mapping,8,mapping_field_equivalence,0,0,specified field tolerances,True,in-memory generalized production reconstruction,
development_mapping,10,mapping_row_count,400,400,exact,True,outputs/sem_deadline/sem_mapping_deadline_v1.csv,
development_mapping,10,mapping_field_equivalence,0,0,specified field tolerances,True,in-memory generalized production reconstruction,
development_mapping,14,mapping_row_count,393,393,exact,True,outputs/sem_deadline/sem_mapping_deadline_v1.csv,
development_mapping,14,mapping_field_equivalence,0,0,specified field tolerances,True,in-memory generalized production reconstruction,
development_mapping,all,total_mapping_rows,1192,1192,exact,True,in-memory,
development_cohort,all,cohort_b_sample_ids,678,678,exact,True,outputs/manifests/sem_height_manifest_deadline_v1_development.csv,
development_features,all,sem_summary_hash,4f8473e69b6c05d0049c920676b6cc0891b708bca176c86fd6acc51815033203,4f8473e69b6c05d0049c920676b6cc0891b708bca176c86fd6acc51815033203,exact SHA-256,True,in-memory float64 little-endian,
development_bounds,all,native_bounds,identical,True,exact,True,outputs/manifests/sem_height_manifest_deadline_v1_development.csv,
track21_mapping,21,mapping_rows,396,396,exact,True,outputs/sem_final_test_v2/sem_mapping_v1_track21.csv,
track21_mapping,21,mapping_field_equivalence,0,0,specified field tolerances,True,in-memory,
track21_manifest,21,manifest_equivalence,identical,True,exact,True,outputs/manifests/sem_height_manifest_v1_track21_final_test.csv,
track21_cohort,21,cohort_b_sample_ids,233,233,exact,True,outputs/manifests/sem_height_manifest_v1_track21_final_test.csv,
prediction_reproduction,21,cohort_b_sem_summary_ridge,<=1e-10,0.0,1e-10 mm,True,outputs/models/final_track21_height_width_predictions.csv,
prediction_reproduction,21,cohort_b_thermal_plus_sem_summary_ridge,<=1e-10,0.0,1e-10 mm,True,outputs/models/final_track21_height_width_predictions.csv,
prediction_reproduction,21,cohort_b_sem_summary_upstream_ridge,<=1e-10,0.0,1e-10 mm,True,outputs/models/final_track21_height_width_predictions.csv,
immutable_integrity,all,before_after_hashes,identical,True,exact,True,outputs/audits/generalized_sem_mapping_production_equivalence_hashes_v1.json,
