sample_id,track_id,segment_frame_index,raw_frame_index,x_actual_mm,official_position_index,height_window_available,height_estimator_id,height_estimator_config_hash,leveling_method_id,boundary_method_id,aggregation_half_width_mm,target_protocol_version,target_y_left_mm,target_y_right_mm,target_width_mm,target_center_mm,finite_boundary_prediction,estimator_exclusion_reason,primary_label_policy_id,primary_label_eligible,primary_label_exclusion_reason,sensitivity_local_valid_ge_0p50,sensitivity_side_support_ge_0p50,sensitivity_local_and_side_support_ge_0p50,human_reference_available,human_reference_source,human_measurability,human_width_mm,human_center_mm,frozen_v1_width_error_vs_human_mm,frozen_v1_center_error_vs_human_mm,local_height_valid_fraction,aggregation_valid_fraction,central_region_valid_fraction,left_substrate_valid_fraction,right_substrate_valid_fraction,left_boundary_distance_to_nearest_nan_mm,right_boundary_distance_to_nearest_nan_mm,aggregation_sensitivity_width_mm,aggregation_sensitivity_center_mm,maximum_method_disagreement_width_mm,maximum_method_disagreement_center_mm,width_neighbor_difference_mm,center_neighbor_difference_mm,apparent_cap_flag,distance_to_candidate_limit_mm,aggregation_width_sensitivity_mm,aggregation_center_sensitivity_mm,maximum_method_width_disagreement_mm,maximum_method_center_disagreement_mm
T8_F001,8,1,338,20.3,1,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F002,8,2,339,20.5,2,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F003,8,3,340,20.7,3,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,quality_gate_batch1,unmeasurable,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F004,8,4,341,20.9,4,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F005,8,5,342,21.1,5,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F006,8,6,343,21.3,6,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F007,8,7,344,21.5,7,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F008,8,8,345,21.7,8,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,,,,,False,insufficient_finite_profile,all_finite_height_estimator_v1,False,estimator_nonfinite,False,False,False,False,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False,,,,,
T8_F009,8,9,346,21.9,9,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,0.5017320000000001,0.9955,0.493768,0.7486160000000001,True,,all_finite_height_estimator_v1,True,,True,False,False,False,adjudication_1,unmeasurable,,,,,0.5020833333333333,0.065,0.29707112970711297,0.9801980198019802,0.3977272727272727,0.14335200000000003,0.0,0.011946000000000012,0.005973000000000006,0.011946000000000012,0.005973000000000006,0.14733399999999996,0.061721000000000026,False,0.0017320000000000668,0.011946000000000012,0.005973000000000006,0.011946000000000012,0.005973000000000006
T8_F010,8,10,347,22.1,10,True,height_boundary_estimator_v1,4b1094cf2084f10026cdd470dba7ba3bdf8b561bfef02ba7ef3413e8a555617d,official_robust_plane_v1,gradient_edges,0.1,height_label_policy_v1,0.63712,0.983554,0.346434,0.8103370000000001,True,,all_finite_height_estimator_v1,True,,True,True,True,False,,,,,,,0.8041666666666667,0.27116013071895423,0.6694560669456067,0.9603960396039604,0.875,0.3225420000000001,0.0,0.5375700000000001,0.17918999999999996,0.525624,0.20507300000000006,0.36236199999999996,0.11946000000000001,False,0.13712000000000002,0.5375700000000001,0.17918999999999996,0.525624,0.20507300000000006
