sample_id,track_id,segment_frame_index,raw_frame_index,official_position_index,x_actual_mm,target_width_mm,primary_label_eligible,sem_mapping_id,sem_protocol_id,sem_source_path,sem_tile_id,central_mask_native_bounds,upstream_native_bounds,downstream_native_bounds,sem_input_available,sem_exclusion_reason,border_flag,tile_boundary_flag,context_clipped_flag,upstream_available,downstream_available,valid_pixel_fraction
T8_F001,8,1,338,1,20.3,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F002,8,2,339,2,20.5,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F003,8,3,340,3,20.7,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F004,8,4,341,4,20.9,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F005,8,5,342,5,21.1,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F006,8,6,343,6,21.3,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F007,8,7,344,7,21.5,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,176:305,17:176,305:465,True,,False,False,False,True,True,1.0
T8_F008,8,8,345,8,21.7,,False,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,208:337,49:208,337:497,True,,False,False,False,True,True,1.0
T8_F009,8,9,346,9,21.9,0.493768,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,240:369,81:240,369:529,True,,False,False,False,True,True,1.0
T8_F010,8,10,347,10,22.1,0.346434,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,272:401,113:272,401:561,True,,False,False,False,True,True,1.0
T8_F011,8,11,348,11,22.3,0.923824,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,304:434,145:304,434:593,True,,False,False,False,True,True,1.0
T8_F012,8,12,349,12,22.5,0.947716,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,336:466,177:336,466:625,True,,False,False,False,True,True,1.0
T8_F013,8,13,350,13,22.7,0.7924180000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,368:498,209:368,498:657,True,,False,False,False,True,True,1.0
T8_F014,8,14,351,14,22.9,0.7884360000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,400:530,241:400,530:689,True,,False,False,False,True,True,1.0
T8_F015,8,15,352,15,23.1,0.7924180000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,433:562,273:433,562:721,True,,False,False,False,True,True,1.0
T8_F016,8,16,353,16,23.3,0.8680760000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,465:594,305:465,594:753,True,,False,False,False,True,True,1.0
T8_F017,8,17,354,17,23.5,0.947716,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,497:626,337:497,626:785,True,,False,False,False,True,True,1.0
T8_F018,8,18,355,18,23.7,0.7127780000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,529:658,369:529,658:817,True,,False,False,False,True,True,1.0
T8_F019,8,19,356,19,23.9,0.8760399999999999,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,561:690,401:561,690:850,True,,False,False,False,True,True,1.0
T8_F020,8,20,357,20,24.1,0.720742,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,593:722,434:593,722:882,True,,False,False,False,True,True,1.0
T8_F021,8,21,358,21,24.3,0.740652,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,625:754,466:625,754:914,True,,False,False,False,True,True,1.0
T8_F022,8,22,359,22,24.5,0.844184,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,657:786,498:657,786:946,True,,False,False,False,True,True,1.0
T8_F023,8,23,360,23,24.7,0.7366699999999999,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,689:818,530:689,818:978,True,,False,False,False,True,True,1.0
T8_F024,8,24,361,24,24.9,0.903914,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,721:851,562:721,851:1010,True,,False,False,False,True,True,1.0
T8_F025,8,25,362,25,25.1,0.9198420000000002,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F026,8,26,363,26,25.3,0.9357700000000002,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F027,8,27,364,27,25.5,0.828256,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F028,8,28,365,28,25.7,0.89595,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F029,8,29,366,29,25.9,0.7964000000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F030,8,30,367,30,26.1,0.81631,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F031,8,31,368,31,26.3,0.7486160000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F032,8,32,369,32,26.5,0.8561300000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F033,8,33,370,33,26.7,0.919842,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F034,8,34,371,34,26.9,0.887986,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F035,8,35,372,35,27.1,0.7605620000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F036,8,36,373,36,27.3,0.947716,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F037,8,37,374,37,27.5,0.923824,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,172:302,13:172,302:461,True,,False,False,False,True,True,1.0
T8_F038,8,38,375,38,27.7,0.6769400000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,205:334,45:205,334:493,True,,False,False,False,True,True,1.0
T8_F039,8,39,376,39,27.9,0.7486160000000002,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,237:366,77:237,366:525,True,,False,False,False,True,True,1.0
T8_F040,8,40,377,40,28.1,0.931788,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,269:398,109:269,398:557,True,,False,False,False,True,True,1.0
T8_F041,8,41,378,41,28.3,0.931788,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,301:430,141:301,430:589,True,,False,False,False,True,True,1.0
T8_F042,8,42,379,42,28.5,0.911878,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,333:462,173:333,462:622,True,,False,False,False,True,True,1.0
T8_F043,8,43,380,43,28.7,0.7964,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,365:494,206:365,494:654,True,,False,False,False,True,True,1.0
T8_F044,8,44,381,44,28.9,0.872058,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,397:526,238:397,526:686,True,,False,False,False,True,True,1.0
T8_F045,8,45,382,45,29.1,0.7605620000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,429:558,270:429,558:718,True,,False,False,False,True,True,1.0
T8_F046,8,46,383,46,29.3,0.804364,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,461:590,302:461,590:750,True,,False,False,False,True,True,1.0
T8_F047,8,47,384,47,29.5,0.7087960000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,493:623,334:493,623:782,True,,False,False,False,True,True,1.0
T8_F048,8,48,385,48,29.7,0.724724,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,525:655,366:525,655:814,True,,False,False,False,True,True,1.0
T8_F049,8,49,386,49,29.9,0.744634,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,557:687,398:557,687:846,True,,False,False,False,True,True,1.0
T8_F050,8,50,387,50,30.1,0.828256,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,589:719,430:589,719:878,True,,False,False,False,True,True,1.0
T8_F051,8,51,388,51,30.3,0.832238,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,622:751,462:622,751:910,True,,False,False,False,True,True,1.0
T8_F052,8,52,389,52,30.5,0.8083460000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,654:783,494:654,783:942,True,,False,False,False,True,True,1.0
T8_F053,8,53,390,53,30.7,0.73667,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,686:815,526:686,815:974,True,,False,False,False,True,True,1.0
T8_F054,8,54,391,54,30.9,0.633138,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,718:847,558:718,847:1006,True,,False,False,False,True,True,1.0
T8_F055,8,55,392,55,31.1,0.53757,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F056,8,56,393,56,31.3,0.7406520000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F057,8,57,394,57,31.5,0.788436,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F058,8,58,395,58,31.7,0.8561300000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F059,8,59,396,59,31.9,0.8481660000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F060,8,60,397,60,32.1,0.6849040000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F061,8,61,398,61,32.3,0.8163100000000002,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_12.tif,12,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F062,8,62,399,62,32.5,0.852148,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F063,8,63,400,63,32.7,0.641102,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F064,8,64,401,64,32.9,0.83622,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F065,8,65,402,65,33.1,0.808346,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F066,8,66,403,66,33.3,0.911878,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F067,8,67,404,67,33.5,0.7804720000000002,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,,,,False,full_2p8mm_context_not_supported_by_one_native_tile,False,True,True,False,False,0.0
T8_F068,8,68,405,68,33.7,0.800382,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,162:291,2:162,291:450,True,,False,False,False,True,True,1.0
T8_F069,8,69,406,69,33.9,0.8043640000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,194:323,34:194,323:482,True,,False,False,False,True,True,1.0
T8_F070,8,70,407,70,34.1,0.7964,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,226:355,66:226,355:515,True,,False,False,False,True,True,1.0
T8_F071,8,71,408,71,34.3,0.700832,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,258:387,99:258,387:547,True,,False,False,False,True,True,1.0
T8_F072,8,72,409,72,34.5,0.8282560000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,290:419,131:290,419:579,True,,False,False,False,True,True,1.0
T8_F073,8,73,410,73,34.7,0.7366699999999999,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,322:451,163:322,451:611,True,,False,False,False,True,True,1.0
T8_F074,8,74,411,74,34.9,0.89595,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,354:483,195:354,483:643,True,,False,False,False,True,True,1.0
T8_F075,8,75,412,75,35.1,0.947716,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,386:516,227:386,516:675,True,,False,False,False,True,True,1.0
T8_F076,8,76,413,76,35.3,0.7605620000000002,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,418:548,259:418,548:707,True,,False,False,False,True,True,1.0
T8_F077,8,77,414,77,35.5,0.8919680000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,450:580,291:450,580:739,True,,False,False,False,True,True,1.0
T8_F078,8,78,415,78,35.7,0.947716,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,482:612,323:482,612:771,True,,False,False,False,True,True,1.0
T8_F079,8,79,416,79,35.9,0.820292,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,515:644,355:515,644:803,True,,False,False,False,True,True,1.0
T8_F080,8,80,417,80,36.1,0.593318,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,547:676,387:547,676:835,True,,False,False,False,True,True,1.0
T8_F081,8,81,418,81,36.3,0.8282560000000001,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,579:708,419:579,708:867,True,,False,False,False,True,True,1.0
T8_F082,8,82,419,82,36.5,0.887986,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,611:740,451:611,740:899,True,,False,False,False,True,True,1.0
T8_F083,8,83,420,83,36.7,0.884004,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,643:772,483:643,772:932,True,,False,False,False,True,True,1.0
T8_F084,8,84,421,84,36.9,0.907896,True,sem_mapping_deadline_v1,symmetric_two_strip_1mm_mask0p4mm_v1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_11.tif,11,675:804,516:675,804:964,True,,False,False,False,True,True,1.0
