number_of_samples,mae_mm,rmse_mm,median_absolute_error_mm,p90_absolute_error_mm,maximum_absolute_error_mm,signed_bias_mm,r_squared,pearson_correlation,spearman_correlation,validation_track,offset_official_positions,future_frame_offset,diagnostic_only,used_for_model_or_mapping_selection
391,0.1148491162299049,0.1573113977935575,0.08928470836353186,0.22761470724943633,0.8839815000165608,0.049177059846131875,-0.4459837910555524,0.024364220327701,0.010792495270027189,8,-5,False,True,False
391,0.12451935337140228,0.1606796135360661,0.10162312416957842,0.25674850774699276,0.7372677773549946,-0.05095558941244657,-0.5085669945537303,0.042795171264583695,0.03100250115440686,8,-4,False,True,False
391,0.18454175171217485,0.23500991291115594,0.15170758419896502,0.36989086254938797,0.9619864551363304,0.176168204516891,-2.2271221766021383,-0.021917382758127713,-0.07541868127818632,8,-3,False,True,False
391,0.14038585316086355,0.17083337929504716,0.12646839898774564,0.26435903915666237,0.7009125825950326,-0.08727915799689236,-0.7052517676724306,0.06049868765885996,0.01900044499221439,8,-2,False,True,False
391,0.2183497321709653,0.2606945735257863,0.20958085091842338,0.38474961104993544,0.9415389455226153,0.21731945199063848,-2.9710652863539644,0.09584623000661255,0.050953630894313984,8,-1,False,True,False
391,0.11659186352525043,0.16252017194565951,0.09143428767354533,0.2260616553272835,1.0454279440425918,0.0005539166412907424,-0.5433257095675132,-0.0862877688747243,-0.05502397895882041,8,0,False,True,False
390,0.15740003320411403,0.1880032447061121,0.1447267291831869,0.2931695146975811,0.5783291057676859,-0.11979279079286209,-1.072676590539131,0.11675183003578157,0.06498167599430146,8,1,True,True,False
389,0.19537818349907737,0.2394501657618707,0.17951906374345417,0.3496694809786948,0.8316133528174781,0.1898858000318325,-2.6085903566024107,-0.0012565377583203911,-0.05448485806266995,8,2,True,True,False
388,0.11142613711842293,0.15164501120313834,0.0892566520493287,0.22360773600870282,0.7822495553138311,-0.0012578420873727823,-0.4705158932821276,-0.09158103534000903,-0.05252792134171483,8,3,True,True,False
387,0.14249344002142006,0.18581823417507515,0.11411482932907369,0.2884548046348361,0.7896826873980795,0.12071647608258941,-1.3863334959389126,0.08120086404697377,0.012712987163592262,8,4,True,True,False
386,0.28778779757558626,0.3187067486713905,0.2758209494145761,0.4551684212451183,1.0663100677196615,0.28778779757558626,-6.305656828765135,0.06978537780761253,0.05716957464609742,8,5,True,True,False
379,0.14129248427102956,0.17107907968711192,0.12823447868998517,0.27984597240496234,0.4439621682085547,-0.08082387766584083,-0.8648226362358609,0.03834983678828009,0.023709136164832133,10,-5,False,True,False
379,0.12500039367488677,0.1564933557820069,0.10677320191952178,0.25411631940469576,0.4974625797135861,0.00968425326445155,-0.5603985159111193,-0.006548866902211167,-0.030234731081533114,10,-4,False,True,False
379,0.11881396958318544,0.14955473102383632,0.09524212972612689,0.24429629765146033,0.4971900557156479,-0.003135148087368378,-0.42509571346704256,0.06423793162392127,0.05523031553571844,10,-3,False,True,False
379,0.1411679566457768,0.18274209075313516,0.11373189959223995,0.3140381061766666,0.5801206598353968,0.10166411984509698,-1.12775147546196,0.06753746874300078,0.05321103699654437,10,-2,False,True,False
379,0.12237949183485104,0.1515210811164171,0.1013668287540378,0.2541324796745327,0.4487194647235214,-0.014822838920028017,-0.4628164731845865,0.021960415656659887,0.021493782273810973,10,-1,False,True,False
379,0.1208600374026438,0.1500524181883045,0.10525548826526565,0.2486829445130723,0.46327947241637035,0.03026431249923847,-0.4345963419189307,0.04308352632350398,-0.014533162391544785,10,0,False,True,False
378,0.13666730150304263,0.167927785495017,0.12910953612764808,0.2709161268777379,0.4459873356025837,-0.06299696932557157,-0.8000547512547886,0.028865141655151794,0.018584974150869113,10,1,True,True,False
377,0.13282826722159582,0.1620027060118736,0.12094193120467545,0.25367824647674186,0.49672402181143327,-0.05362884172964244,-0.6717203017534832,0.04867511424371705,0.03388394507104748,10,2,True,True,False
376,0.13919999836369382,0.17610461100134844,0.11236613553041308,0.28166951007696645,0.6129704359933332,0.08363288056497405,-0.9957437187749445,-0.028695774420979592,-0.024941180355621782,10,3,True,True,False
375,0.11695904368890164,0.14831147770712727,0.09796484069355371,0.24514393482478075,0.5150730212990177,0.017514249955043085,-0.41227725339693366,0.06768013490185362,0.03173749454021214,10,4,True,True,False
374,0.1422133713026407,0.17334828733522084,0.12292149079564774,0.28481431411998315,0.43731030675508265,-0.0819409740563514,-0.9257493671748869,0.05224928248310856,0.017460022531706157,10,5,True,True,False
385,0.512211237763077,0.5385378538915975,0.5086447913373406,0.7110223686242915,1.04411763682271,0.512211237763077,-17.346675277165808,0.030234293644177648,0.03283352782831483,14,-5,False,True,False
385,0.28971702233825786,0.332946071129587,0.2694114873660236,0.5081118956443805,0.8323129650867576,0.28439146502398405,-6.012497066412956,-0.005668276370861359,-0.013428886806068241,14,-4,False,True,False
385,0.44246967964287465,0.4715082448068428,0.43417240840623317,0.6587016882597638,0.9535382934231278,0.4422956463771885,-13.063826050052127,0.027171045330409264,0.030721184825833515,14,-3,False,True,False
385,0.13696584623241848,0.17301461374082266,0.10982418764932556,0.29339987717844535,0.5740575058330374,0.0051497151651988616,-0.8936097398022864,0.0474666935410273,0.06763356392817808,14,-2,False,True,False
385,0.1316721465170934,0.1661531291918574,0.10825508108815629,0.27641505381995235,0.4642272084047112,-0.030116677927476937,-0.7463928851178303,0.031204674749088314,0.03670713801021697,14,-1,False,True,False
385,0.1730010500752137,0.21557492614296248,0.1492781265673202,0.3525026966776547,0.6747717376642643,0.14301210053345467,-1.9398244373125637,0.04789875498529095,0.03969922087839073,14,0,False,True,False
384,0.2767117595631615,0.3152379756354418,0.274503161870076,0.4683226799936375,0.6903274653964495,-0.2688134557880928,-5.284550221354803,-0.04163863250512551,-0.04802006689314256,14,1,True,True,False
383,0.6433354586425263,0.6646113291801997,0.6417261628246826,0.8526194954215703,1.1476917302439715,0.6433354586425263,-26.926047927484003,0.060029885883845883,0.0722272320552124,14,2,True,True,False
382,0.2900630904864903,0.32837322567087746,0.2839699422748679,0.4883928465188892,0.7084565456527203,-0.28299225364460884,-5.844623252862769,0.01445032001907046,0.009821146739389384,14,3,True,True,False
381,0.17223633750897957,0.2111637833364697,0.15556331061509532,0.35099271918297426,0.5361489786320514,-0.1304769337880038,-1.8775893728484325,-0.026796507777693736,-0.014335191440455218,14,4,True,True,False
380,0.5311435094129904,0.5580499502203342,0.522621391766827,0.7515985783823295,1.1406424611155268,0.5309237326822356,-19.135377433838258,-0.015708933583793272,-0.02326495862482507,14,5,True,True,False
