sample_id,track_id,official_position_index,x_actual_mm,sem_source_path,sem_tile_id,sem_mosaic_coordinate_px,sem_local_coordinate_px,sem_cross_track_reference_px,along_track_axis,increasing_x_direction,sem_mapping_id,mapping_source,mapping_confidence,mapping_available,mapping_exclusion_reason,distance_to_image_border_px,distance_to_tile_boundary_px
T8_F001,8,1,20.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,48.11547714514847,48.11547714514847,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,48.11547714514847,48.11547714514847
T8_F002,8,2,20.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,80.1924619085806,80.1924619085806,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,80.1924619085806,80.1924619085806
T8_F003,8,3,20.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,112.26944667201272,112.26944667201272,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,112.26944667201272,112.26944667201272
T8_F004,8,4,20.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,144.34643143544483,144.34643143544483,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,144.34643143544483,144.34643143544483
T8_F005,8,5,21.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,176.42341619887753,176.42341619887753,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,176.42341619887753,176.42341619887753
T8_F006,8,6,21.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,208.50040096230964,208.50040096230964,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,208.50040096230964,208.50040096230964
T8_F007,8,7,21.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,240.57738572574178,240.57738572574178,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,240.57738572574178,240.57738572574178
T8_F008,8,8,21.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,272.6543704891739,272.6543704891739,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,272.6543704891739,272.6543704891739
T8_F009,8,9,21.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,304.731355252606,304.731355252606,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,304.731355252606,304.731355252606
T8_F010,8,10,22.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,336.8083400160387,336.8083400160387,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,336.8083400160387,336.8083400160387
T8_F011,8,11,22.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,368.88532477947086,368.88532477947086,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,368.88532477947086,368.88532477947086
T8_F012,8,12,22.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,400.962309542903,400.962309542903,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,400.962309542903,400.962309542903
T8_F013,8,13,22.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,433.0392943063351,433.0392943063351,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,433.0392943063351,433.0392943063351
T8_F014,8,14,22.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,465.1162790697672,465.1162790697672,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,465.1162790697672,465.1162790697672
T8_F015,8,15,23.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,497.1932638331999,497.1932638331999,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,497.1932638331999,497.1932638331999
T8_F016,8,16,23.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,529.270248596632,529.270248596632,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,493.729751403368,493.729751403368
T8_F017,8,17,23.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,561.3472333600641,561.3472333600641,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,461.65276663993586,461.65276663993586
T8_F018,8,18,23.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,593.4242181234963,593.4242181234963,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,429.5757818765037,429.5757818765037
T8_F019,8,19,23.9,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,625.5012028869284,625.5012028869284,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,397.49879711307165,397.49879711307165
T8_F020,8,20,24.1,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,657.5781876503611,657.5781876503611,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,365.4218123496389,365.4218123496389
T8_F021,8,21,24.3,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,689.6551724137933,689.6551724137933,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,333.34482758620675,333.34482758620675
T8_F022,8,22,24.5,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,721.7321571772253,721.7321571772253,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,301.2678428227747,301.2678428227747
T8_F023,8,23,24.7,${DATA_ROOT}/sem/SEM_8/PlainImages/Plain_SEM_8_13.tif,13,753.8091419406575,753.8091419406575,384.0,horizontal,left_to_right,sem_mapping_deadline_v1,README physical interval + documented tile order + TIFF stage coordinates + static engineering QA,low,True,,269.19085805934253,269.19085805934253
